cpuusage_middle,cpuusage_stress1,cpuusage_stress10,cpuusage_stress11,cpuusage_stress2,cpuusage_stress3,cpuusage_stress4,cpuusage_stress5,cpuusage_stress6,cpuusage_stress7,cpuusage_stress8,cpuusage_stress9
0.001,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0.434,0,0.421,0.364,0,0,0.435,0.388,0.396
0.001,0.33,0.329,0.341,0.324,0.333,0.328,0.342,0.336,0.329,0.333,0.335
0.005,0.337,0.335,0.335,0.334,0.337,0.339,0.336,0.335,0.333,0.328,0.331
0.015,0.328,0.33,0.328,0.33,0.33,0.329,0.338,0.331,0.33,0.333,0.327
0.017,0.325,0.327,0.332,0.332,0.335,0.329,0.324,0.328,0.335,0.343,0.329
0.015,0.335,0.333,0.328,0.328,0.328,0.333,0.346,0.331,0.331,0.33,0.332
0.018,0.331,0.334,0.333,0.332,0.33,0.337,0.342,0.339,0.329,0.328,0.327
0.019,0.332,0.331,0.326,0.333,0.335,0.336,0.337,0.333,0.332,0.335,0.325
0.017,0.334,0.33,0.328,0.332,0.33,0.332,0.335,0.334,0.33,0.325,0.33
0.018,0.332,0.329,0.33,0.329,0.331,0.335,0.331,0.33,0.332,0.333,0.329
0.023,0.336,0.333,0.33,0.332,0.331,0.331,0.334,0.333,0.331,0.334,0.329
0.019,0.329,0.325,0.329,0.326,0.327,0.331,0.333,0.327,0.326,0.327,0.334
0.017,0.328,0.329,0.33,0.331,0.327,0.33,0.33,0.332,0.335,0.336,0.33
0.023,0.33,0.33,0.323,0.33,0.33,0.332,0.33,0.329,0.328,0.328,0.33
0.017,0.335,0.323,0.334,0.332,0.333,0.331,0.331,0.33,0.33,0.333,0.328
0.016,0.327,0.334,0.33,0.331,0.329,0.329,0.33,0.33,0.33,0.328,0.334
0.02,0.333,0.331,0.328,0.332,0.334,0.331,0.328,0.328,0.335,0.33,0.33
0.018,0.331,0.33,0.334,0.327,0.332,0.329,0.329,0.333,0.329,0.33,0.331
0.019,0.333,0.331,0.331,0.332,0.327,0.337,0.335,0.331,0.331,0.329,0.329
0.016,0.332,0.333,0.331,0.332,0.33,0.333,0.33,0.328,0.329,0.329,0.334
0.006,0.329,0.331,0.331,0.331,0.336,0.328,0.332,0.333,0.336,0.335,0.333
0.012,0.33,0.334,0.332,0.331,0.33,0.333,0.329,0.329,0.333,0.331,0.331
0.012,0.33,0.333,0.329,0.339,0.33,0.33,0.331,0.332,0.33,0.335,0.327
0.014,0.329,0.325,0.329,0.329,0.329,0.325,0.328,0.326,0.33,0.329,0.335
0.018,0.337,0.335,0.333,0.329,0.332,0.334,0.334,0.336,0.331,0.332,0.333
0.02,0.329,0.331,0.331,0.333,0.331,0.329,0.33,0.33,0.332,0.335,0.333
0.026,0.332,0.325,0.328,0.328,0.329,0.33,0.329,0.329,0.331,0.327,0.33
0.033,0.33,0.334,0.333,0.329,0.328,0.329,0.329,0.331,0.328,0.334,0.33
0.042,0.328,0.329,0.33,0.329,0.334,0.329,0.329,0.331,0.33,0.326,0.329
0.053,0.328,0.327,0.325,0.329,0.326,0.328,0.325,0.325,0.324,0.326,0.326
0.066,0.322,0.326,0.326,0.325,0.326,0.326,0.329,0.328,0.326,0.327,0.324
0.066,0.325,0.326,0.325,0.321,0.33,0.326,0.323,0.322,0.325,0.323,0.324
0.093,0.328,0.324,0.323,0.328,0.324,0.325,0.324,0.33,0.324,0.327,0.326
0.138,0.322,0.319,0.319,0.319,0.32,0.32,0.319,0.319,0.321,0.319,0.322
0.153,0.311,0.312,0.313,0.314,0.311,0.314,0.316,0.317,0.318,0.316,0.312
0.201,0.315,0.314,0.313,0.318,0.314,0.315,0.307,0.311,0.312,0.31,0.31
0.259,0.303,0.303,0.306,0.303,0.305,0.3,0.304,0.306,0.302,0.309,0.306
0.257,0.302,0.297,0.3,0.299,0.301,0.303,0.298,0.298,0.298,0.296,0.3
0.252,0.297,0.303,0.295,0.3,0.295,0.295,0.303,0.306,0.303,0.299,0.295
0.289,0.298,0.299,0.299,0.299,0.299,0.301,0.299,0.295,0.298,0.3,0.299
0.321,0.292,0.292,0.296,0.295,0.292,0.292,0.294,0.297,0.295,0.293,0.292
0.337,0.29,0.291,0.287,0.289,0.29,0.288,0.289,0.29,0.291,0.289,0.287
0.362,0.286,0.286,0.285,0.288,0.286,0.286,0.286,0.287,0.285,0.286,0.286
0.378,0.281,0.282,0.284,0.28,0.281,0.283,0.283,0.283,0.282,0.282,0.279
0.374,0.283,0.279,0.278,0.28,0.281,0.282,0.277,0.28,0.279,0.279,0.281
0.392,0.282,0.277,0.282,0.281,0.281,0.281,0.283,0.28,0.28,0.285,0.284
0.397,0.278,0.28,0.279,0.277,0.278,0.28,0.28,0.283,0.28,0.28,0.277
0.384,0.278,0.281,0.278,0.283,0.283,0.279,0.28,0.277,0.28,0.28,0.28
0.4,0.278,0.276,0.28,0.277,0.28,0.281,0.28,0.281,0.278,0.283,0.278
0.399,0.28,0.281,0.277,0.279,0.277,0.277,0.281,0.279,0.28,0.277,0.278
0.396,0.275,0.274,0.276,0.277,0.281,0.28,0.28,0.28,0.278,0.279,0.278
0.4,0.279,0.281,0.28,0.279,0.279,0.277,0.277,0.279,0.279,0.28,0.282
0.405,0.274,0.275,0.275,0.277,0.276,0.277,0.278,0.279,0.276,0.276,0.276
0.402,0.277,0.276,0.278,0.277,0.275,0.277,0.279,0.275,0.276,0.278,0.275
0.4,0.276,0.278,0.277,0.276,0.277,0.276,0.274,0.277,0.279,0.279,0.277
0.4,0.278,0.279,0.276,0.279,0.279,0.278,0.278,0.279,0.279,0.275,0.278
0.395,0.278,0.28,0.282,0.278,0.277,0.28,0.277,0.278,0.28,0.279,0.278
0.394,0.28,0.28,0.276,0.283,0.279,0.279,0.281,0.279,0.278,0.281,0.279
0.411,0.279,0.282,0.278,0.28,0.279,0.277,0.275,0.283,0.28,0.276,0.276
0.389,0.277,0.281,0.279,0.278,0.275,0.274,0.276,0.277,0.278,0.277,0.279
0.385,0.279,0.28,0.276,0.279,0.279,0.279,0.278,0.28,0.278,0.278,0.277
0.396,0.277,0.279,0.282,0.281,0.28,0.276,0.279,0.279,0.279,0.279,0.281
